slug	direct	with_descendants	parent	alias_of	description
additional-upkeep				?	alias
affinity-for-spells-in-graveyard				affinity-for-spells	alias
afterlife				leaves-body-behind	alias
ageless-entity				?	alias
alliance				creaturefall	alias
alternate-cost-pitch				?	alias
alternate-cost-tap-creature				convoke	alias
arena-only-mechanics				digital-only-mechanics	alias
arrest				pacifism	alias
artifact-removal				removal-artifact	alias
assistant-card				helper-card	alias
assistant-cards				helper-card	alias
automatic-win				alternate-win-condition	alias
backbone				buttstrike	alias
banish-with-set-mechanic				o-ring-with-set-mechanic	alias
bear-with-set-mechanic				bear-with-set-s-mechanic	alias
bear-with-sets-mechanic				?	alias
beast-within				swap-removal	alias
becomes-artifact				artifactify	alias
becomes-aura				auraify	alias
becomes-creature				animate-self	alias
bigger-than-mv				more-expensive-than-mv	alias
bite				one-sided-fight	alias
black-hate				hate-black	alias
black-lord				synergy-black	alias
blink				flicker	alias
blink-slow				flicker-slow	alias
bloodlust				slith-ability	alias
bloodsower-effect				tokenlink	alias
blue-hate				hate-blue	alias
board-walking				defector	alias
boardwipe				sweeper	alias
bottle-draw				impulsive-draw	alias
bring-your-own-pilot				bring-your-own-crew	alias
burn-bright				trumpet-blast	alias
burn-to-exile				disintegrate	alias
burn-with-set-mechanic				burn-with-set-s-mechanic	alias
burn-with-sets-mechanic				?	alias
buttbreathing				armoring	alias
cast-from-exile				gives-castable-from-exile	alias
cast-from-graveyard				gives-castable-from-graveyard	alias
cast-from-library				gives-castable-from-library	alias
cast-from-nonhand				gives-castable-from-nonhand	alias
cast-from-top				play-from-top	alias
cda				characteristic-defining-ability	alias
cheat-into-play				sneak	alias
cheat-mana				cost-ignorer	alias
cmc-matters				mana-value-matters	alias
coercion				thoughtseize	alias
color-hate				hate-color	alias
colorless-hate				hate-colorless	alias
colourless-matters				synergy-colorless	alias
combat-mana				combat-ramp	alias
commander-storm				?	alias
comply				nevermore	alias
conjure-graveyard				conjure-to-graveyard	alias
constellation				enchantmentfall	alias
continuous-effect-in-graveyard				?	alias
converted-mana-cost-matters				mana-value-matters	alias
cost-reducer-self				discount-self	alias
counter				counterspell	alias
counter-movement				move-counters	alias
counterspell-with-set-s-mechanic				counterspell-with-set-mechanic	alias
counterspell-with-sets-mechanic				?	alias
cradle-of-vitality				?	alias
creates-card-token				creates-oracle-token	alias
creates-larger-body				creates-bigger-body	alias
creature-reanimation-automatic				cheat-death	alias
creature-removal				removal-creature	alias
creature-type-erratum				type-errata	alias
crewed-vehicle				crew	alias
crucible				crucible-of-worlds	alias
cycle-1cmc-tutor				?	alias
cycle-afr-draft-signpost				cycle-afr-u-legend	alias
cycle-alternate-reality-legend				?	alias
cycle-apprentice				?	alias
cycle-bfz-manland				?	alias
cycle-bicycle-land				?	alias
cycle-blb-mentor				cycle-blb-draft-signpost	alias
cycle-boon				?	alias
cycle-c13-commander				?	alias
cycle-c16-mnop-commander				?	alias
cycle-canopy-land				?	alias
cycle-chk-shrine				?	alias
cycle-clash-counter-creature				?	alias
cycle-clb-8-mana-ability				?	alias
cycle-clb-legends-roll				?	alias
cycle-clb-uncommon-legend				cycle-clb-draft-signpost	alias
cycle-cmd-wedge-alt-commander				?	alias
cycle-cmd-wedge-commander				?	alias
cycle-color-wash-instant				?	alias
cycle-crowdland				?	alias
cycle-desert-painland				?	alias
cycle-dft-vanilla				?	alias
cycle-dtk-u-two-color-dragon				?	alias
cycle-eld-wilds-land				?	alias
cycle-field-aura				?	alias
cycle-flip-ascendant				?	alias
cycle-gainland				cycle-ktk-gainland	alias
cycle-gtc-guild-charm				cycle-block-rtr-guild-charm	alias
cycle-hideaway-land				?	alias
cycle-hou-gods-last-action				?	alias
cycle-hunted-creature				?	alias
cycle-iko-keyword-hybrid				?	alias
cycle-iko-mentor-hybrid				?	alias
cycle-iko-mentor-rare				?	alias
cycle-iko-mentor-uncommon				?	alias
cycle-iko-tricycle-land				?	alias
cycle-iko-x-mutant				?	alias
cycle-instantment				?	alias
cycle-isd-enemy-flashback				?	alias
cycle-jud-1cmc-martyr				?	alias
cycle-lea-top-down				?	alias
cycle-lrw-tribal-dual-land				?	alias
cycle-lrw-tribal-land				?	alias
cycle-m-cycling-land				?	alias
cycle-m21-shrine				?	alias
cycle-mkm-clue-equipment				?	alias
cycle-mkm-surveil-land				cycle-dual-surveil-land	alias
cycle-mm-attach-equipment				?	alias
cycle-mmmm-enrager				?	alias
cycle-ncc-secondary-commander				?	alias
cycle-nephilim				?	alias
cycle-newphyrexia-shrine				?	alias
cycle-obelisk				?	alias
cycle-obliterator				?	alias
cycle-ons-cycling-land				?	alias
cycle-phyrexian-er				?	alias
cycle-pip-filterland				?	alias
cycle-pulse				?	alias
cycle-puzzleknot				?	alias
cycle-ramos-artifact				?	alias
cycle-recurring-suspend-spell				?	alias
cycle-resounding-spell				?	alias
cycle-rites				?	alias
cycle-rusalka				?	alias
cycle-sanctuary				?	alias
cycle-scarab				?	alias
cycle-scent				?	alias
cycle-scg-cmc-matters				?	alias
cycle-scry-land				cycle-block-ths-scry-land	alias
cycle-scryland				cycle-block-ths-scry-land	alias
cycle-seal				?	alias
cycle-sedge-creature				?	alias
cycle-seer				?	alias
cycle-shard				?	alias
cycle-shardland				?	alias
cycle-shoal				?	alias
cycle-shockland				cycle-rav-shockland	alias
cycle-signet-land				?	alias
cycle-skulkin				?	alias
cycle-slith				?	alias
cycle-soc-lateland				?	alias
cycle-soc-turbulent-land				?	alias
cycle-soi-r-ndfc				?	alias
cycle-som-1cmc-combat-trick				?	alias
cycle-sos-hybrid				?	alias
cycle-sos-paradigm				?	alias
cycle-sos-surveil-land				?	alias
cycle-spellshaper-aura				?	alias
cycle-spm-surveil-land				?	alias
cycle-surging-spell				?	alias
cycle-tango-land				?	alias
cycle-tarkir-command				?	alias
cycle-tdm-regent				?	alias
cycle-temple-land				cycle-block-ths-scry-land	alias
cycle-terminus-stone				?	alias
cycle-threshold-painland				?	alias
cycle-tle-experience				?	alias
cycle-trigon				?	alias
cycle-unf-myras-marvels				?	alias
cycle-unh-limerick				?	alias
cycle-usg-manland				?	alias
cycle-volver				?	alias
cycle-vow-m-ndfc				?	alias
cycle-vow-signpost				cycle-vow-draft-signpost	alias
cycle-warchief				?	alias
cycle-wedgeland				?	alias
d-d-feature				dnd-mechanic	alias
d-d-item				dnd-item	alias
d-d-mechanic				dnd-mechanic	alias
d-d-monster				dnd-monster	alias
d-d-spell				dnd-spell	alias
damage-deflection				damage-redirection	alias
damage-doubler				damage-multiplier	alias
damage-tripler				damage-multiplier	alias
dark-confidant-ability				wannabe-dark-confidant	alias
day-0-errata				day-zero-errata	alias
day-0-oracle-errata				day-zero-errata	alias
day-zero-oracle-errata				day-zero-errata	alias
death-haven				?	alias
deathtrigger				death-trigger	alias
deck-destruction				mill-opponent	alias
delayed-triggered-ability				delayed-trigger	alias
demon-synergy				typal-demon	alias
demonic-tutor				tutor-card	alias
dethrone-effect				pseudo-dethrone	alias
dice				dice-roll	alias
dinosaur-tribal				typal-dinosaur	alias
disappear				revolt	alias
discard-exile				discard-to-exile	alias
discard-library				discard-to-library	alias
discard-with-sets-mechanic				?	alias
discardoutlet				discard-outlet	alias
discount-tap-creature				convoke	alias
disenchant				disenchant-naturalize	alias
disenchant-with-set-mechanic				naturalize-with-set-mechanic	alias
disenchant-with-set-s-mechanic				naturalize-with-set-mechanic	alias
disenchant-with-sets-mechanic				?	alias
dnd-feature				dnd-mechanic	alias
doomed-traveler				leaves-body-behind	alias
doran-effect				buttstrike	alias
double-keyword				repeated-keyword	alias
downside				drawback	alias
dr-who-episode-name				doctor-who-episode-name	alias
dr-who-episode-saga				doctor-who-episode-saga	alias
dragon-tribal				typal-dragon	alias
draw-card				pure-draw	alias
duress				thoughtseize	alias
edict				removal-sacrifice	alias
enchantment-removal				removal-enchantment	alias
enchantress				enchantment-engine	alias
encoded				imprint	alias
enters-and-dies-trigger-self				life-and-death-trigger-self	alias
entomb				tutor-to-graveyard	alias
etb-other-creature				creaturefall	alias
etb-self-attach				auto-equip	alias
etb-self-tapped-conditional				conditional-tapland	alias
exiles-self				exile-self	alias
explosive-vegetation				multi-land-ramp	alias
extra-attack				extra-combat-phase	alias
extra-combat				extra-combat-phase	alias
face-down-face-up-effects				face-up-face-down-effects	alias
face-down-peek				peek-face-down	alias
faux-target				faux-targeting	alias
fight				removal-fight	alias
figure-of-destiny				pseudo-leveler	alias
flashback				castable-from-graveyard	alias
flicker-dfc-transform				exile-self-dfc-transform	alias
flurry				second-spell-matters	alias
flying-hate				hate-flying	alias
fog-limited				fog-selective	alias
forces-attack				force-attacker	alias
free-casting				free-cast-another	alias
free-sac-outlet				free-sacrifice-outlet	alias
freeze-any				?	alias
freeze-permanent				?	alias
funny-ruling				fun-ruling	alias
giant-growth-with-set-s-mechanic				giant-growth-with-set-mechanic	alias
giant-growth-with-sets-mechanic				?	alias
giant-tribal				typal-giant	alias
gives-counters-to-all				gives-pp-counters-to-all	alias
gives-hope				dolmen-ability	alias
goblin-synergy				typal-goblin	alias
grants-changeling				gives-changeling	alias
grants-foretell				?	alias
grants-prowess				?	alias
graveflicker				cheat-death	alias
graveyard-hate				hate-graveyard	alias
graveyard-to-library				restock	alias
green-hate				hate-green	alias
handsize-matters				hand-size-matters	alias
hate-color-multi				hate-multicolor	alias
hate-dragon				?	alias
hate-draw				draw-hate	alias
hate-extra-turn				?	alias
hate-hexproof				removes-hexproof	alias
hate-high-cmc				hate-high-mv	alias
hate-high-mana-value				hate-high-mv	alias
hate-indestructible				removes-indestructible	alias
hate-jace				?	alias
hate-regeneration				hate-regenerate	alias
hate-sacrifice				hate-removal-sacrifice	alias
hate-shroud				?	alias
hate-spirit				hate-typal-spirit	alias
hate-token-creature				hate-token	alias
hate-trample				?	alias
hate-tribal-angel				?	alias
hate-tribal-beast				?	alias
hate-tribal-choose				hate-typal-choose	alias
hate-tribal-cleric				?	alias
hate-tribal-coward				?	alias
hate-tribal-cyclops				?	alias
hate-tribal-demon				?	alias
hate-tribal-devil				?	alias
hate-tribal-dinosaur				?	alias
hate-tribal-djinn				?	alias
hate-tribal-dog				?	alias
hate-tribal-dragon				?	alias
hate-tribal-efreet				?	alias
hate-tribal-eldrazi				?	alias
hate-tribal-eldrazi-scion				?	alias
hate-tribal-elf				hate-typal-elf	alias
hate-tribal-giant				?	alias
hate-tribal-goat				?	alias
hate-tribal-goblin				hate-typal-goblin	alias
hate-tribal-god				?	alias
hate-tribal-gorgon				?	alias
hate-tribal-homarid				?	alias
hate-tribal-human				hate-typal-human	alias
hate-tribal-inkling				?	alias
hate-tribal-kavu				?	alias
hate-tribal-kithkin				?	alias
hate-tribal-knight				?	alias
hate-tribal-mercenary				?	alias
hate-tribal-mutant				?	alias
hate-tribal-ninja				?	alias
hate-tribal-non-choose				?	alias
hate-tribal-non-demon				?	alias
hate-tribal-non-dragon				?	alias
hate-tribal-non-elemental				?	alias
hate-tribal-non-elf				?	alias
hate-tribal-non-faerie				?	alias
hate-tribal-non-giant				?	alias
hate-tribal-non-gorgon				?	alias
hate-tribal-non-human				?	alias
hate-tribal-non-kraken				?	alias
hate-tribal-non-leviathan				?	alias
hate-tribal-non-merfolk				?	alias
hate-tribal-non-octopus				?	alias
hate-tribal-non-pirate				?	alias
hate-tribal-non-rogue				?	alias
hate-tribal-non-serpent				?	alias
hate-tribal-non-soldier				?	alias
hate-tribal-non-spirit				?	alias
hate-tribal-non-vampire				?	alias
hate-tribal-non-wall				hate-typal-non-wall	alias
hate-tribal-non-werewolf				?	alias
hate-tribal-non-zombie				?	alias
hate-tribal-orc				?	alias
hate-tribal-rat				?	alias
hate-tribal-rebel				?	alias
hate-tribal-reflection				?	alias
hate-tribal-rogue				?	alias
hate-tribal-salamander				?	alias
hate-tribal-saproling				?	alias
hate-tribal-scarecrow				?	alias
hate-tribal-serf				?	alias
hate-tribal-share				?	alias
hate-tribal-skeleton				?	alias
hate-tribal-sliver				?	alias
hate-tribal-spirit				hate-typal-spirit	alias
hate-tribal-survivor				?	alias
hate-tribal-thrull				?	alias
hate-tribal-treefolk				?	alias
hate-tribal-vampire				hate-typal-vampire	alias
hate-tribal-wall				hate-typal-wall	alias
hate-tribal-werewolf				?	alias
hate-tribal-wizard				?	alias
hate-tribal-wolf				?	alias
hate-tribal-zombie				hate-typal-zombie	alias
heartmend				?	alias
high-hand-size-matters				hand-size-matters	alias
high-mv-matters				high-mana-value-matters	alias
hostage				ransom	alias
human-tribal				typal-human	alias
hunter-trigger				hunger-trigger	alias
impulse-draw				impulsive-draw	alias
infinite-mana-sink				bottomless-mana-sink	alias
instant-rebate				refund	alias
karoo-land				?	alias
kindred				typal-creature	alias
kithkin-tribal				typal-kithkin	alias
land-removal				removal-land	alias
land-sacrifice				sacrifice-outlet-land	alias
leaves-trigger				leaves-battlefield-trigger	alias
less-expensive-than-mv				cheaper-than-mv	alias
leveller				leveler	alias
life-drain				drain-life	alias
life-gain				lifegain	alias
lilianas-pact-demon				?	alias
lord				anthem	alias
lord-barbarian				?	alias
lord-black				synergy-black	alias
lord-creatureland				synergy-creatureland	alias
lord-saproling				typal-saproling	alias
lorwyn-five				?	alias
lose-half-life				?	alias
low-hand-size-matters				hand-size-matters	alias
low-mv-matters				low-mana-value-matters	alias
man-land				creatureland	alias
mana-doubler				mana-increaser	alias
mana-dump				mana-sink	alias
mana-flare				mana-increaser	alias
mana-ramp				ramp	alias
mana-rock-with-sets-mechanic				?	alias
manarock				mana-rock	alias
manarock-any-color				mana-rock	alias
manarock-c				mana-rock	alias
manarock-cc				mana-rock	alias
manarock-ccc				mana-rock	alias
manarock-chosen-color				mana-rock	alias
manarock-egg				mana-egg	alias
manarock-mox				moxen	alias
manland				creatureland	alias
mass-land-ramp				multi-land-ramp	alias
mass-removal				sweeper	alias
meddling-mage				nevermore	alias
mindslaver				turn-control	alias
modal-1-3				charm	alias
modal-2-4				command	alias
modal-3-3				?	alias
momir				random-card	alias
multiple-clone				multi-copy	alias
mutual-edict				mutual-sacrifice	alias
name-type				eponymous	alias
naming-scheme				card-names	alias
naturalize				disenchant-naturalize	alias
naturalize-with-set-s-mechanic				naturalize-with-set-mechanic	alias
naturalize-with-sets-mechanic				?	alias
